DCU_ID	DOSE	ADMINISTRATION	DISEASE	EFFICACY	EFFECT_TYPE	STAGE	SOURCE	ICD10_S	ICD10_L	EFFECTS_T	TOXICITY	OVERALL
DCU09060	Cytarabine: 100 mg/m2; Daunorubicin: 60 mg/m2	null	Acute Myeloid Leukemia	Non-efficacious	Unclear	Phase 2	NCT00915252	C92.00 Acute myeloid leukemia	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C92  Myeloid leukaemia; C92.00 Acute myeloid leukemia	The combination of azacitidine with standard induction therapy is feasible in older patients with AML and was selected as an investigational arm in the randomised controlled part of this phase-II study, which is currently halted due to an increased cardiac toxicity observed in the experimental arm.	null	high cardiac toxicity
DCU09066	Dapagliflozin: 2.5/5/10 mg; Metformin: 1.5/2/2.5 g	null	Type 2 Diabetes Mellitus	Need further study	Unclear	Phase 3	NCT00660907	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU09100	Nitrofurantoin: 100 mg; Sulfamethoxazole/trimethoprim: -	null	Urinary Tract Infection	Efficacious	Unclear	Phase 2	NCT00391651	N39.0 Urinary tract infection, site not specified	N00-N99   Diseases of the genitourinary system; N30-N39  Other diseases of urinary system; N39  Other disorders of urinary system; N39.0 Urinary tract infection, site not specified	In the trimethoprim-sulfamethoxazole arm, 7 of 17 women (41%) with a trimethoprim-sulfamethoxazole-nonsusceptible isolate had a clinical cure compared with 84% of women with a trimethoprim-sulfamethoxazole-susceptible isolate (P < .001).	null	significant improvement on cure rate after combination
DCU09118	null	null	Barrett Esophagus	Need further study	Unclear	Phase 2	NCT00474903	"K22.7 Barrett's esophagus"	"K00-K93   Diseases of the digestive system; K20-K31  Diseases of oesophagus, stomach and duodenum; K22  Other diseases of esophagus; K22.7 Barrett's esophagus"	null	null	null
DCU09124	Moxifloxacin: 400 mg; Pyrazinamide: -	null	Pulmonary Tuberculosis	Efficacious	Unclear	Phase 2	NCT01215851	A15.0 Tuberculosis of lung	A00-B99  Certain infectious and parasitic diseases; A15-A19  Tuberculosis; A15  Respiratory tuberculosis; A15.0 Tuberculosis of lung	null	null	null
DCU09125	null	null	Leukemia	Non-efficacious	Unclear	Phase 3	NCT00049517	C92.00 Acute myeloid leukemia	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C92  Myeloid leukaemia; C92.00 Acute myeloid leukemia	null	null	null
DCU09136	Olanzapine: 10-20 mg; Sertraline: 150-200 mg	null	Major Depression With Psychotic Features	Efficacious	Unclear	Phase 3	NCT00056472	F32.3 Major depressive disorder, single episode, severe with psychotic features	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode; F32.3 Major depressive disorder, single episode, severe with psychotic features	null	null	null
DCU09142	null	null	Coronary Artery Disease	Non-efficacious	Unclear	Phase 4	NCT00484926	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	The cumulative risk of the primary outcome at 2 years was 1.8% with dual antiplatelet therapy, as compared with 1.2% with aspirin monotherapy (hazard ratio, 1.65; 95% confidence interval [CI], 0.80 to 3.36; P=0.17).	null	not significantly more effective than aspirin monotherapy
DCU10504	Hydrocortisone acetate: 2.5%; Neomycin sulfate: eq 3.5mg base/gm	cream;topical	Inflammation and infection of the eye, rhinitis, sinusitis, otitis externa.	Efficacious	null	Approved	FDA orange book	B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	A00-B99  Certain infectious and parasitic diseases; B95-B98  Bacterial, viral and other infectious agents; B96  Other specified bacterial agents as the cause of diseases classified to other chapters; B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	null	null	null
DCU10505	Hydrocortisone acetate: 0.5%; Neomycin sulfate: eq 3.5mg base/gm	ointment;ophthalmic	Inflammation and infection of the eye, rhinitis, sinusitis, otitis externa.	Efficacious	null	Approved	FDA orange book	B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	A00-B99  Certain infectious and parasitic diseases; B95-B98  Bacterial, viral and other infectious agents; B96  Other specified bacterial agents as the cause of diseases classified to other chapters; B96.89 Other specified bacterial agents as the cause of diseases classified elsewhere	null	null	null
DCU10511	Hydrocortisone acetate: 1%; Urea: 10%	cream;topical	It is indicated forthe relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.	Efficacious	null	Approved	FDA orange book	L29  Pruritus	L00-L99   Diseases of the skin and subcutaneous tissue; L20-L30  Dermatitis and eczema; L29  Pruritus	null	null	null
DCU10514	Hydrocortisone: 5mg/ml; Polymyxin b sulfate: eq 10,000 units base/ml	solution/drops;otic	Bacterial infections of the ear	Efficacious	null	Approved	FDA orange book	A49.9 Bacterial infection, unspecified	A00-B99  Certain infectious and parasitic diseases; A30-A49  Other bacterial diseases; A49  Bacterial infection of unspecified site; A49.9 Bacterial infection, unspecified	null	null	null
DCU10515	Hydrocortisone: 1.5%; Tetracycline hydrochloride: 1%	ointment;ophthalmic	Treating certain bacterial infections and acne.	Efficacious	null	Approved	FDA orange book	L70.9 Acne, unspecified	L00-L99   Diseases of the skin and subcutaneous tissue; L60-L75  Disorders of skin appendages; L70  Acne; L70.9 Acne, unspecified	null	null	null
DCU10516	Hydroflumethiazide: 50mg; Reserpine: 0.125mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10517	Hydroflumethiazide: 25mg; Reserpine: 0.125mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10518	Hydroxyamphetamine hydrobromide: 1%; Tropicamide: 0.25%	solution/drops;ophthalmic	For mydriasis in routine diagnostic procedures and in conditions where short-term pupil dilation is desired.	Efficacious	null	Approved	FDA orange book	H57.04 Mydriasis	H00-H59  Diseases of the eye and adnexa; H55-H59  Other disorders of eye and adnexa; H57  Other disorders of eye and adnexa; H57.04 Mydriasis	null	null	null
DCU10519	Ibuprofen: 200mg; Phenylephrine hydrochloride: 10mg	tablet;oral	Relieve sinus pressure, nasal swelling, congestion, and headaches	Efficacious	null	Approved	FDA orange book	R09.8 Other specified symptoms and signs involving the circulatory and respiratory systems	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R00-R09  Symptoms and signs involving the circulatory and respiratory systems; R09  Other symptoms and signs involving the circulatory and respiratory system; R09.8 Other specified symptoms and signs involving the circulatory and respiratory systems	null	null	null
DCU10520	Isoproterenol hydrochloride: 0.16mg/inh; Phenylephrine bitartrate: 0.24mg/inh	aerosol, metered;inhalation	It is indicated for the treatment of bronchospasm associated with acute and chronic asthma.	Efficacious	null	Approved	FDA orange book	J98.01 Acute bronchospasm; J45.9 Other and unspecified asthma	J00-J99   Diseases of the respiratory system; J95-J99  Other diseases of the respiratory system; J98  Other respiratory disorders; J98.01 Acute bronchospasm | J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma; J45.9 Other and unspecified asthma	null	null	null
DCU10522	Leuprolide acetate: 3.75mg/vial; Norethindrone acetate: 5mg	injectable, tablet;intramuscular, oral	For initial management of the painful symptoms of endometriosis and for management of recurrence of symptoms.	Efficacious	null	Approved	FDA orange book	R52 Pain, unspecified; N80 Endometriosis	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R52  Pain, unspecified | N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N80  Endometriosis	null	null	null
DCU10523	Leuprolide acetate: 11.25mg/vial; Norethindrone acetate: 5mg	injectable, tablet;intramuscular, oral	For initial management of the painful symptoms of endometriosis and for management of recurrence of symptoms.	Efficacious	null	Approved	FDA orange book	R52 Pain, unspecified; N80 Endometriosis	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R52  Pain, unspecified | N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N80  Endometriosis	null	null	null
DCU10524	Levonordefrin: 0.05mg/ml; Procaine hydrochloride: 2%; Propoxycaine hydrochloride: 0.4%	injectable;injection	Used as a topical nasal decongestant and vasoconstrictor in dentistry.	Efficacious	null	Approved	FDA orange book	null	null	null	null	null
DCU10525	Lidocaine hydrochloride: 2%; Oxytetracycline: 50mg/ml	injectable;injection	Trachoma	Efficacious	null	Approved	FDA orange book	A71 Trachoma	A00-B99  Certain infectious and parasitic diseases; A70-A74  Other diseases caused by chlamydiae; A71  Trachoma	null	null	null
DCU10526	Lidocaine hydrochloride: 2%; Oxytetracycline: 125mg/ml	injectable;injection	Trachoma	Efficacious	null	Approved	FDA orange book	A71 Trachoma	A00-B99  Certain infectious and parasitic diseases; A70-A74  Other diseases caused by chlamydiae; A71  Trachoma	null	null	null
DCU10527	Loperamide hydrochloride: 2mg; Simethicone: 125mg	tablet, chewable;oral	Diarrhea	Efficacious	null	Approved	FDA orange book	R19.7 Diarrhea, unspecified	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R10-R19  Symptoms and signs involving the digestive system and abdomen; R19  Other symptoms and signs involving the digestive system and abdomen; R19.7 Diarrhea, unspecified	null	null	null
DCU09146	null	null	Acute Coronary Disease	Efficacious	Unclear	Phase 3	NCT00335452	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	null	null	null
DCU09147	Aspirin: 100 mg; Clopidogrel: 75 mg	null	Coronary Artery Disease	Efficacious	Unclear	Phase 4	NCT01584791	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	null	null	null
DCU09152	Aspirin: 75-100 mg; Clopidogrel: 75 mg	null	Coronary Artery Disease	Efficacious	Unclear	Phase 2	NCT00528411	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	null	null	null
DCU09163	null	null	Coronary Artery Disease	Non-efficacious	Unclear	Phase 4	NCT01186146	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	null	null	null
DCU09164	Aspirin: 325 mg; Clopidogrel: 75 mg	null	Cerebrovascular Accident	Non-efficacious	Unclear	Phase 3	NCT00059306	I63.9 Cerebral infarction, unspecified	I00-I99  Diseases of the circulatory system; I60-I69  Cerebrovascular diseases; I63  Cerebral infarction; I63.9 Cerebral infarction, unspecified	null	null	null
DCU09166	Aspirin: 100 mg; Clopidogrel: 75 mg	null	Coronary Heart Disease	Non-efficacious	Unclear	Phase 4	NCT00947843	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	null	null	null
DCU09168	null	null	Coronary Artery Disease	Efficacious	Unclear	Phase 3	NCT00823212	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	null	null	null
DCU09170	Aspirin: 75-100 mg; Clopidogrel: 75 mg	null	Stable Coronary Artery Disease	Efficacious	Unclear	Phase 2	NCT00642811	I25 Chronic ischemic heart disease	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease	null	null	null
DCU09196	Lopinavir/ritonavir: 200/50 twice; Zidovudine/lamivudine: 300/150 twice	null	HIV Infections	Efficacious	Unclear	Phase 2/3	NCT00424814	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU09198	Lamivudine: 300 mg; Lopinavir/ritonavir: 400/100 mg twice; Zidovudine: 600 mg	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00164736	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU09218	Fluticasone Propionate:100 mcg; Montelukas: 5-10 mgt; Salmeterol: 50 mcg	null	Asthma	Efficacious	Unclear	Phase 3	NCT00395304	J45 Asthma	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma	null	null	null
DCU09220	Tetracaine hydrochloride: 3%;Oxymetazoline hydrochloride: 0.05%	null	Dental Anesthesia Efficacy	Efficacious	Unclear	Phase 2	NCT01302483	null	null	null	null	null
DCU09232	Methylprednisolone: 1g; Prednisone: 1 mg/kg; Rituximab: 375mg/m2	null	Vasculitis	Efficacious	Unclear	Phase 2/3	NCT00104299	L95 Vasculitis limited to skin, not elsewhere classified	L00-L99   Diseases of the skin and subcutaneous tissue; L80-L99  Other disorders of the skin and subcutaneous tissue; L95  Vasculitis limited to skin, not elsewhere classified	null	null	null
DCU09250	Ribavirin: 1-1.2 g; Sofosbuvir: 400 mg	null	Hepatitis C	Efficacious	Unclear	Phase 3	NCT01497366	B18.2 Chronic viral hepatitis C	A00-B99  Certain infectious and parasitic diseases; B15-B19  Viral hepatitis; B18  Chronic viral hepatitis; B18.2 Chronic viral hepatitis C	null	null	null
DCU09282	Bupropion: 150-450 mg/d; Escitalopram: 10-20 mg/d	null	Major Depressive Disorder	Non-efficacious	Unclear	Phase 4	NCT00590863	F32.3 Major depressive disorder, single episode, severe with psychotic features	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode; F32.3 Major depressive disorder, single episode, severe with psychotic features	null	null	null
DCU09317	null	null	Coronary Artery Disease	Efficacious	Unclear	Phase 4	NCT00611286	I25.9 Chronic ischemic heart disease, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.9 Chronic ischemic heart disease, unspecified	null	null	null
DCU09338	null	null	Prescription Opioid Dependence	Efficacious	Unclear	Phase 2	NCT00719095	F11.2 Opioid dependence	F00-F99  Mental and behavioural disorders; F10-F19  Mental and behavioural disorders due to psychoactive substance use; F11  Opioid related disorders; F11.2 Opioid dependence	null	null	null
